,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,060310,KR7060310000,3S,KOSDAQ,벤처기업부,-,3,,,,,,,,,53059040,KSQ
1,095570,KR7095570008,AJ네트웍스,KOSPI,,-,3,,,,,,,,,45252759,STK
2,006840,KR7006840003,AK홀딩스,KOSPI,,-,3,,,,,,,,,13247561,STK
3,054620,KR7054620000,APS,KOSDAQ,중견기업부,-,3,,,,,,,,,18394221,KSQ
4,265520,KR7265520007,AP시스템,KOSDAQ,우량기업부,-,3,,,,,,,,,15050821,KSQ
5,211270,KR7211270004,AP위성,KOSDAQ,우량기업부,-,3,,,,,,,,,15082304,KSQ
6,139050,KR7139050009,BF랩스,KOSDAQ,관리종목(소속부없음),-,3,,,,,,,,,8644551,KSQ
7,027410,KR7027410000,BGF,KOSPI,,-,3,,,,,,,,,95716791,STK
8,282330,KR7282330000,BGF리테일,KOSPI,,-,3,,,,,,,,,17283906,STK
9,126600,KR7126600006,BGF에코머티리얼즈,KOSDAQ,우량기업부,-,3,,,,,,,,,62766899,KSQ
10,138930,KR7138930003,BNK금융지주,KOSPI,,-,3,,,,,,,,,310327033,STK
11,001460,KR7001460005,BYC,KOSPI,,-,3,,,,,,,,,6246150,STK
12,001465,KR7001461003,BYC우,KOSPI,,-,3,,,,,,,,,2153850,STK
13,083790,KR7083790006,CG인바이츠,KOSDAQ,벤처기업부,-,3,,,,,,,,,76894182,KSQ
14,001040,KR7001040005,CJ,KOSPI,,-,3,,,,,,,,,29176998,STK
15,079160,KR7079160008,CJ CGV,KOSPI,,-,3,,,,,,,,,165582366,STK
16,035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,중견기업부,-,3,,,,,,,,,21929154,KSQ
17,311690,KR7311690002,CJ 바이오사이언스,KOSDAQ,기술성장기업부,-,3,,,,,,,,,13065462,KSQ
18,00104K,KR700104K010,CJ4우(전환),KOSPI,,-,3,,,,,,,,,4226512,STK
19,000120,KR7000120006,CJ대한통운,KOSPI,,-,3,,,,,,,,,22812344,STK
20,011150,KR7011150000,CJ씨푸드,KOSPI,,-,3,,,,,,,,,35930773,STK
21,011155,KR7011151008,CJ씨푸드1우,KOSPI,,-,3,,,,,,,,,200000,STK
22,001045,KR7001041003,CJ우,KOSPI,,-,3,,,,,,,,,2260223,STK
23,097950,KR7097950000,CJ제일제당,KOSPI,,-,3,,,,,,,,,15054186,STK
24,097955,KR7097951008,CJ제일제당 우,KOSPI,,-,3,,,,,,,,,1327433,STK
25,051500,KR7051500007,CJ프레시웨이,KOSDAQ,우량기업부,-,3,,,,,,,,,11871586,KSQ
26,058820,KR7058820002,CMG제약,KOSDAQ,중견기업부,-,3,,,,,,,,,147842183,KSQ
27,056730,KR7056730005,CNT85,KOSDAQ,벤처기업부,-,3,,,,,,,,,74111186,KSQ
28,000480,KR7000480004,CR홀딩스,KOSPI,,-,3,,,,,,,,,46890490,STK
29,065770,KR7065770000,CS,KOSDAQ,벤처기업부,-,3,,,,,,,,,19411130,KSQ
30,083660,KR7083660001,CSA 코스믹,KOSDAQ,중견기업부,-,3,,,,,,,,,62829459,KSQ
31,000590,KR7000590000,CS홀딩스,KOSPI,,-,3,,,,,,,,,1154482,STK
32,012030,KR7012030003,DB,KOSPI,,-,3,,,,,,,,,201173933,STK
33,477760,KR7477760003,DB금융스팩12호,KOSDAQ,SPAC(소속부없음),-,3,,,,,,,,,5840000,KSQ
34,005830,KR7005830005,DB손해보험,KOSPI,,-,3,,,,,,,,,69384000,STK
35,016610,KR7016610008,DB증권,KOSPI,,-,3,,,,,,,,,42446389,STK
36,000990,KR7000990002,DB하이텍,KOSPI,,-,3,,,,,,,,,43504588,STK
37,099520,KR7099520009,DGI,KOSDAQ,관리종목(소속부없음),-,3,,,,,,,,,45281824,KSQ
38,000300,KR7000300004,DH오토넥스,KOSPI,,-,3,,,,,,,,,41437055,STK
39,290120,KR7290120005,DH오토리드,KOSDAQ,우량기업부,-,3,,,,,,,,,15824249,KSQ
40,025440,KR7025440009,DH오토웨어,KOSDAQ,중견기업부,-,3,,,,,,,,,48781224,KSQ
41,001530,KR7001530005,DI동일,KOSPI,,-,3,,,,,,,,,19729280,STK
42,015590,KR7015590003,DKME,KOSPI,,-,3,,,,,,,,,236981544,STK
43,000210,KR7000210005,DL,KOSPI,,-,3,,,,,,,,,20955884,STK
44,000215,KR7000211003,DL우,KOSPI,,-,3,,,,,,,,,1686115,STK
45,375500,KR7375500006,DL이앤씨,KOSPI,,-,3,,,,,,,,,38693623,STK
46,37550L,KR737550K029,DL이앤씨2우(전환),KOSPI,,-,3,,,,,,,,,2111951,STK
47,37550K,KR737550K011,DL이앤씨우,KOSPI,,-,3,,,,,,,,,2113885,STK
48,068790,KR7068790005,DMS,KOSDAQ,투자주의환기종목(소속부없음),-,3,,,,,,,,,22570224,KSQ
49,007340,KR7007340003,DN오토모티브,KOSPI,,-,3,,,,,,,,,58510865,STK
50,004840,KR7004840005,DRB동일,KOSPI,,-,3,,,,,,,,,19930000,STK
